               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.077464,            0.059053,            0.019383,             0.31127,             0.32204,             0.23612,             0.10402,            0.061119,            0.053402,            0.010563,            0.070034,           0.0033295,           0.0033295
                   1,            0.062966,             0.05361,           0.0099263,              0.4693,             0.34758,              0.3693,             0.18019,            0.051437,             0.05163,           0.0086835,            0.039968,           0.0065969,           0.0065969
                   2,            0.058614,            0.053443,           0.0086895,              0.5637,             0.38777,             0.42566,             0.23242,            0.049351,            0.051991,           0.0081551,           0.0098364,           0.0097983,           0.0097983
                   3,            0.053952,            0.052834,           0.0078492,             0.58418,             0.40258,             0.44344,             0.25839,            0.046584,            0.050895,           0.0072836,            0.009703,            0.009703,            0.009703
                   4,            0.050753,            0.052377,           0.0072088,             0.61914,             0.42593,             0.47044,             0.27259,            0.044865,            0.050293,           0.0068116,            0.009703,            0.009703,            0.009703
                   5,            0.048974,            0.051836,           0.0068778,             0.62326,             0.44293,             0.48663,             0.29303,            0.044687,            0.050391,           0.0064777,            0.009604,            0.009604,            0.009604
                   6,            0.047157,            0.050815,           0.0063909,             0.68862,             0.43228,             0.49428,              0.2972,            0.044135,            0.050086,           0.0062176,            0.009505,            0.009505,            0.009505
                   7,            0.046079,            0.050611,           0.0062022,             0.68378,             0.44053,             0.49687,             0.30934,            0.042915,            0.049722,           0.0062357,            0.009406,            0.009406,            0.009406
                   8,            0.045112,            0.050575,           0.0058956,             0.69144,             0.45644,             0.52427,               0.317,            0.042426,            0.048842,           0.0058346,            0.009307,            0.009307,            0.009307
                   9,            0.044418,            0.050014,            0.005649,             0.69409,             0.44172,             0.51236,               0.311,            0.042089,            0.048777,           0.0058256,            0.009208,            0.009208,            0.009208
                  10,            0.044033,             0.04914,           0.0054779,             0.69364,             0.46508,             0.51649,             0.32423,            0.041689,            0.048662,           0.0059043,            0.009109,            0.009109,            0.009109
                  11,            0.043409,            0.049077,           0.0053955,              0.6765,             0.45925,             0.51657,             0.32116,            0.041656,            0.048573,           0.0057398,             0.00901,             0.00901,             0.00901
                  12,            0.042993,            0.049057,           0.0053315,             0.67745,             0.46682,             0.52956,             0.33436,            0.041396,            0.048584,           0.0055866,            0.008911,            0.008911,            0.008911
                  13,            0.042536,            0.048603,            0.005174,             0.67836,              0.4835,             0.53531,             0.33312,            0.041271,            0.048406,           0.0056746,            0.008812,            0.008812,            0.008812
                  14,            0.042442,            0.048408,           0.0050369,             0.65833,             0.45823,             0.52192,               0.328,            0.041178,             0.04844,           0.0055732,            0.008713,            0.008713,            0.008713
                  15,            0.041863,            0.048335,           0.0050255,             0.67537,             0.48579,              0.5408,             0.34228,            0.040944,            0.047967,           0.0053427,            0.008614,            0.008614,            0.008614
                  16,            0.041958,            0.048222,           0.0049607,             0.71179,             0.47702,             0.54641,             0.34859,            0.040712,            0.047977,           0.0054361,            0.008515,            0.008515,            0.008515
                  17,            0.041584,            0.047605,            0.004956,             0.67432,               0.466,             0.53193,             0.34659,            0.040631,            0.047998,           0.0054854,            0.008416,            0.008416,            0.008416
                  18,             0.04131,            0.047371,            0.004717,             0.71408,             0.46195,              0.5341,             0.34093,            0.040559,            0.048067,           0.0054748,            0.008317,            0.008317,            0.008317
                  19,            0.041241,            0.047875,           0.0046876,             0.65804,             0.46905,             0.53427,             0.34689,             0.04051,             0.04785,           0.0054071,            0.008218,            0.008218,            0.008218
                  20,            0.040892,            0.047015,           0.0044876,             0.71934,             0.44776,             0.54459,             0.35024,            0.040329,            0.047858,            0.005417,            0.008119,            0.008119,            0.008119
