arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_100,overall,all,mAP50-95,0.34383,8841,97193,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,all,mAP50,0.54775,8841,97193,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,all,mAP75,0.34743,8841,97193,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,car,mAP50-95,0.47525,8841,91118,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,car,mAP50,0.78792,8841,91118,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,car,mAP75,0.46953,8841,91118,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,truck,mAP50-95,0.4263,8841,3608,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,truck,mAP50,0.58309,8841,3608,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,truck,mAP75,0.47389,8841,3608,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,bus,mAP50-95,0.41511,8841,1351,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,bus,mAP50,0.5378,8841,1351,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,bus,mAP75,0.46239,8841,1351,True,2026-09-12T08:36:12.482376+00:00
base_100,overall,motor,mAP50-95,0.18363,8841,377,False,2026-09-12T08:36:12.482376+00:00
base_100,overall,motor,mAP50,0.37564,8841,377,False,2026-09-12T08:36:12.482376+00:00
base_100,overall,motor,mAP75,0.15196,8841,377,False,2026-09-12T08:36:12.482376+00:00
base_100,overall,bike,mAP50-95,0.21888,8841,739,False,2026-09-12T08:36:12.482376+00:00
base_100,overall,bike,mAP50,0.45431,8841,739,False,2026-09-12T08:36:12.482376+00:00
base_100,overall,bike,mAP75,0.1794,8841,739,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,all,mAP50-95,0.33675,1519,15765,True,2026-09-12T08:36:12.482376+00:00
base_100,adverse,all,mAP50,0.5175,1519,15765,True,2026-09-12T08:36:12.482376+00:00
base_100,adverse,all,mAP75,0.35437,1519,15765,True,2026-09-12T08:36:12.482376+00:00
base_100,adverse,car,mAP50-95,0.48754,1519,14568,True,2026-09-12T08:36:12.482376+00:00
base_100,adverse,car,mAP50,0.79447,1519,14568,True,2026-09-12T08:36:12.482376+00:00
base_100,adverse,car,mAP75,0.49046,1519,14568,True,2026-09-12T08:36:12.482376+00:00
base_100,adverse,truck,mAP50-95,0.43158,1519,754,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,truck,mAP50,0.59794,1519,754,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,truck,mAP75,0.48468,1519,754,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,bus,mAP50-95,0.38828,1519,265,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,bus,mAP50,0.4969,1519,265,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,bus,mAP75,0.42891,1519,265,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,motor,mAP50-95,0.19407,1519,40,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,motor,mAP50,0.30442,1519,40,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,motor,mAP75,0.20613,1519,40,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,bike,mAP50-95,0.18228,1519,138,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,bike,mAP50,0.39378,1519,138,False,2026-09-12T08:36:12.482376+00:00
base_100,adverse,bike,mAP75,0.16168,1519,138,False,2026-09-12T08:36:12.482376+00:00
base_100,benign,all,mAP50-95,0.34623,7322,81428,True,2026-09-12T08:36:12.482376+00:00
base_100,benign,all,mAP50,0.55357,7322,81428,True,2026-09-12T08:36:12.482376+00:00
base_100,benign,all,mAP75,0.34786,7322,81428,True,2026-09-12T08:36:12.482376+00:00
base_100,benign,car,mAP50-95,0.47307,7322,76550,True,2026-09-12T08:36:12.482376+00:00
base_100,benign,car,mAP50,0.78703,7322,76550,True,2026-09-12T08:36:12.482376+00:00
base_100,benign,car,mAP75,0.46632,7322,76550,True,2026-09-12T08:36:12.482376+00:00
base_100,benign,truck,mAP50-95,0.42506,7322,2854,True,2026-09-12T08:36:12.482376+00:00
base_100,benign,truck,mAP50,0.57929,7322,2854,True,2026-09-12T08:36:12.482376+00:00
