arm,slice,class,metric,value,n_images,n_instances,reportable,timestamp
base_10,overall,all,mAP50-95,0.26377,8841,97193,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,all,mAP50,0.43618,8841,97193,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,all,mAP75,0.26095,8841,97193,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,car,mAP50-95,0.43498,8841,91118,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,car,mAP50,0.74105,8841,91118,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,car,mAP75,0.42453,8841,91118,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,truck,mAP50-95,0.32375,8841,3608,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,truck,mAP50,0.46291,8841,3608,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,truck,mAP75,0.3574,8841,3608,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,bus,mAP50-95,0.32605,8841,1351,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,bus,mAP50,0.43833,8841,1351,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,bus,mAP75,0.36686,8841,1351,True,2026-09-12T10:24:16.975555+00:00
base_10,overall,motor,mAP50-95,0.10566,8841,377,False,2026-09-12T10:24:16.975555+00:00
base_10,overall,motor,mAP50,0.23684,8841,377,False,2026-09-12T10:24:16.975555+00:00
base_10,overall,motor,mAP75,0.073,8841,377,False,2026-09-12T10:24:16.975555+00:00
base_10,overall,bike,mAP50-95,0.12841,8841,739,False,2026-09-12T10:24:16.975555+00:00
base_10,overall,bike,mAP50,0.30177,8841,739,False,2026-09-12T10:24:16.975555+00:00
base_10,overall,bike,mAP75,0.08297,8841,739,False,2026-09-12T10:24:16.975555+00:00
base_10,adverse,all,mAP50-95,0.26362,1519,15765,True,2026-09-12T10:24:16.975555+00:00
base_10,adverse,all,mAP50,0.43098,1519,15765,True,2026-09-12T10:24:16.975555+00:00
base_10,adverse,all,mAP75,0.26711,1519,15765,True,2026-09-12T10:24:16.975555+00:00
base_10,adverse,car,mAP50-95,0.44277,1519,14568,True,2026-09-12T10:24:16.975555+00:00
base_10,adverse,car,mAP50,0.74327,1519,14568,True,2026-09-12T10:24:16.975555+00:00
base_10,adverse,car,mAP75,0.4382,1519,14568,True,2026-09-12T10:24:16.975555+00:00
