epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,1108.35,1.57718,1.185,1.00088,0.59893,0.41376,0.44813,0.27762,1.48095,1.03489,0.97371,0.00999767,0.00333256,0.00999767,0.00333256,0.00999767,0.00333256,0.00999767,0.00333256
2,2167.59,1.60258,1.17507,1.007,0.60012,0.44543,0.47497,0.28803,1.45896,1.00825,0.98413,0.0197997,0.0065999,0.0197997,0.0065999,0.0197997,0.0065999,0.0197997,0.0065999
3,3198.28,1.62505,1.1956,1.01635,0.59422,0.41781,0.45837,0.2762,1.44826,0.99292,0.98351,0.0294037,0.00980124,0.0294037,0.00980124,0.0294037,0.00980124,0.0294037,0.00980124
4,4219.15,1.60189,1.15888,1.01172,0.59291,0.47621,0.50268,0.30627,1.41746,0.93381,0.97651,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,5244.38,1.55741,1.10071,0.99546,0.6705,0.49029,0.53469,0.32425,1.39495,0.90456,0.96502,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,6263.08,1.53085,1.06661,0.98689,0.66252,0.50223,0.55117,0.33828,1.38169,0.88031,0.96059,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,7283.98,1.51512,1.04648,0.9823,0.65514,0.50837,0.55478,0.34187,1.37102,0.8674,0.95637,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,8364.84,1.50273,1.03033,0.97843,0.67555,0.49545,0.56252,0.34687,1.36352,0.8549,0.95385,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,9446.44,1.4951,1.01792,0.9745,0.68065,0.52509,0.58096,0.35484,1.36305,0.84731,0.95206,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,10482.1,1.48906,1.01148,0.97269,0.70135,0.52012,0.58574,0.35609,1.35578,0.8405,0.95098,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,11495.8,1.47958,0.99991,0.96998,0.66654,0.52401,0.58538,0.35755,1.35179,0.83415,0.94912,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,12447,1.47479,0.9955,0.96862,0.63458,0.54468,0.58883,0.35925,1.35055,0.83098,0.94888,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,13603.2,1.4745,0.99118,0.96778,0.6725,0.5321,0.5945,0.36143,1.34863,0.8275,0.9478,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,14971.6,1.46953,0.9864,0.96708,0.61796,0.56149,0.5924,0.36248,1.34611,0.8244,0.94731,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,16340.1,1.46456,0.9807,0.96564,0.64978,0.54924,0.59377,0.36367,1.34456,0.82318,0.94685,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
