epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,492.047,1.53589,0.83029,1.0033,0.54832,0.39515,0.40569,0.25074,1.46973,0.751,0.98141,0.00999734,0.00333245,0.00999734,0.00333245,0.00999734,0.00333245,0.00999734,0.00333245
2,936.107,1.56169,0.82334,1.00954,0.54719,0.37224,0.39442,0.2413,1.47546,0.74087,0.98995,0.0197994,0.00659979,0.0197994,0.00659979,0.0197994,0.00659979,0.0197994,0.00659979
3,1362.65,1.58172,0.84154,1.02161,0.51568,0.36777,0.39319,0.23852,1.47812,0.72444,0.99753,0.0294034,0.00980113,0.0294034,0.00980113,0.0294034,0.00980113,0.0294034,0.00980113
4,1784.21,1.56639,0.81878,1.01603,0.61592,0.40145,0.4521,0.27414,1.42972,0.68607,0.97673,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2204.72,1.51934,0.7771,1.00046,0.53314,0.45533,0.46672,0.28991,1.40243,0.65925,0.96659,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2625.07,1.4961,0.75306,0.99268,0.63059,0.46058,0.5116,0.31681,1.38526,0.63928,0.95997,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3044.61,1.47827,0.73511,0.98591,0.59883,0.48911,0.51987,0.31571,1.37992,0.62924,0.95992,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3465.38,1.46979,0.72715,0.98368,0.70377,0.46908,0.53726,0.33036,1.36696,0.62015,0.95574,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3886.47,1.45882,0.71646,0.97869,0.61489,0.49682,0.536,0.33532,1.36033,0.61105,0.95057,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4307.05,1.45385,0.7116,0.9759,0.63877,0.50707,0.5447,0.34141,1.35381,0.60464,0.94962,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
11,4726.64,1.44779,0.7061,0.97503,0.65718,0.50053,0.55994,0.34858,1.35131,0.59915,0.94944,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901,0.02703,0.00901
12,5147.76,1.44051,0.7001,0.97223,0.679,0.49305,0.5625,0.351,1.3489,0.59612,0.94749,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911,0.026733,0.008911
13,5568.25,1.43579,0.69503,0.97215,0.68144,0.49302,0.5561,0.34561,1.34638,0.59336,0.94777,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812,0.026436,0.008812
14,5991.65,1.43286,0.69246,0.97012,0.66574,0.5273,0.56596,0.34977,1.34424,0.59186,0.94714,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713,0.026139,0.008713
15,6414.31,1.42888,0.68885,0.96888,0.64942,0.51878,0.56109,0.35041,1.34293,0.58989,0.94623,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614,0.025842,0.008614
16,6836.97,1.42857,0.68808,0.96961,0.66116,0.51261,0.56309,0.35302,1.34147,0.58816,0.94603,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515,0.025545,0.008515
17,7257.14,1.42324,0.6832,0.9681,0.6926,0.50004,0.5698,0.35422,1.33959,0.58666,0.94552,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416,0.025248,0.008416
18,7678.33,1.4232,0.68141,0.96689,0.65052,0.51972,0.57095,0.35497,1.33855,0.5858,0.94508,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317,0.024951,0.008317
19,8100.04,1.42049,0.67913,0.96643,0.66471,0.52064,0.57277,0.35718,1.33727,0.58482,0.9446,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218,0.024654,0.008218
