epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2,lr/pg3,lr/pg4,lr/pg5,lr/pg6,lr/pg7
1,493.313,1.58195,1.18052,1.00018,0.57136,0.41126,0.42828,0.26131,1.47524,1.05979,0.97727,0.00999734,0.00333245,0.00999734,0.00333245,0.00999734,0.00333245,0.00999734,0.00333245
2,942.107,1.60818,1.17252,1.0057,0.57077,0.40291,0.41823,0.25437,1.48427,1.03408,0.99436,0.0197994,0.00659979,0.0197994,0.00659979,0.0197994,0.00659979,0.0197994,0.00659979
3,1370.91,1.63276,1.1975,1.01798,0.53634,0.39661,0.4114,0.24474,1.47947,1.02273,0.99289,0.0294034,0.00980113,0.0294034,0.00980113,0.0294034,0.00980113,0.0294034,0.00980113
4,1794.66,1.61376,1.1624,1.01173,0.59075,0.41397,0.44852,0.27462,1.43657,0.96898,0.98217,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703,0.029109,0.009703
5,2217.06,1.56458,1.10314,0.99747,0.59,0.42631,0.46942,0.28637,1.41055,0.92957,0.97165,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604,0.028812,0.009604
6,2640.31,1.54014,1.06921,0.98874,0.62435,0.45368,0.49183,0.3083,1.38968,0.90015,0.96247,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505,0.028515,0.009505
7,3063.49,1.51954,1.04182,0.98101,0.71271,0.42441,0.50077,0.31348,1.38223,0.88655,0.95809,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406,0.028218,0.009406
8,3486.31,1.51142,1.03062,0.97883,0.74689,0.46357,0.53619,0.32998,1.3738,0.87004,0.95762,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307,0.027921,0.009307
9,3909.99,1.50012,1.01744,0.97441,0.6681,0.4737,0.53267,0.33368,1.36803,0.8589,0.95409,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208,0.027624,0.009208
10,4333.58,1.4948,1.0114,0.97132,0.66758,0.47358,0.54103,0.33699,1.35788,0.85106,0.94985,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109,0.027327,0.009109
