               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.019757,           0.0033721,           0.0044446,            0.062011,              0.1999,             0.15174,            0.068283,            0.058241,             0.17262,            0.010289,            0.070003,            0.003333,            0.003333
                   1,            0.017616,           0.0028186,           0.0028802,            0.060406,             0.19665,             0.15014,            0.069752,            0.058779,             0.17023,           0.0094516,            0.039937,           0.0066003,           0.0066003
                   2,             0.01937,            0.002691,            0.003077,            0.070548,             0.15657,              0.1224,             0.05732,            0.065759,              0.1688,            0.010319,           0.0098054,           0.0098016,           0.0098016
                   3,            0.019738,           0.0027137,           0.0029372,            0.064023,             0.17297,             0.13229,            0.065294,             0.06191,             0.16707,           0.0094299,            0.009703,            0.009703,            0.009703
                   4,             0.01877,           0.0027789,           0.0026838,             0.06074,             0.19455,             0.14565,            0.069362,            0.058413,             0.16751,           0.0088142,            0.009703,            0.009703,            0.009703
                   5,            0.017627,            0.002814,           0.0027622,              0.2346,             0.19683,             0.24089,             0.12409,             0.05591,             0.16907,           0.0084835,            0.009604,            0.009604,            0.009604
                   6,            0.017331,           0.0027305,           0.0028145,              0.2163,             0.19778,             0.23504,             0.13608,            0.055137,             0.16989,           0.0085458,            0.009505,            0.009505,            0.009505
                   7,            0.017115,             0.00274,            0.002584,             0.21709,             0.20426,             0.23659,             0.12401,            0.054337,             0.17028,           0.0082765,            0.009406,            0.009406,            0.009406
                   8,            0.017284,           0.0028289,           0.0025953,             0.34833,             0.21634,              0.3066,             0.17153,            0.053403,              0.1698,           0.0080669,            0.009307,            0.009307,            0.009307
                   9,            0.016993,           0.0028509,           0.0024037,             0.35007,             0.22325,             0.30889,             0.17593,            0.052913,              0.1702,           0.0079333,            0.009208,            0.009208,            0.009208
                  10,            0.016413,           0.0027414,           0.0023625,             0.32163,              0.2275,             0.29566,             0.16798,            0.052583,              0.1702,           0.0079126,            0.009109,            0.009109,            0.009109
                  11,            0.016662,           0.0028055,           0.0024932,             0.32955,             0.23652,             0.30251,             0.17401,            0.052311,              0.1699,           0.0078595,             0.00901,             0.00901,             0.00901
                  12,            0.016843,           0.0028313,           0.0026343,             0.32234,              0.2433,             0.30135,             0.17318,             0.05211,             0.16911,           0.0078143,            0.008911,            0.008911,            0.008911
                  13,            0.016479,           0.0028122,           0.0024893,             0.31715,             0.24774,             0.29905,             0.17222,            0.051963,             0.16902,           0.0077771,            0.008812,            0.008812,            0.008812
