               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.082921,            0.061535,            0.024085,             0.83366,             0.13858,             0.17484,            0.074034,            0.066216,            0.053281,             0.01435,            0.070065,           0.0033261,           0.0033261
                   1,            0.067663,            0.054732,            0.013242,              0.2509,             0.38483,             0.26703,             0.12099,            0.062005,             0.05229,            0.011729,            0.039933,           0.0065276,           0.0065276
                   2,            0.063517,            0.054078,             0.01144,              0.4777,             0.39194,             0.40447,             0.20722,            0.054672,            0.051299,            0.010322,           0.0096695,            0.009597,            0.009597
                   3,            0.057168,            0.053416,            0.010098,             0.62228,             0.40105,             0.44283,             0.23803,            0.047301,             0.05088,           0.0094114,            0.009406,            0.009406,            0.009406
                   4,            0.052444,            0.053067,            0.009328,             0.66758,             0.41237,              0.4727,              0.2499,             0.04731,            0.051099,           0.0088749,            0.009406,            0.009406,            0.009406
                   5,            0.050085,            0.052446,           0.0086739,             0.69286,             0.40896,             0.48288,             0.28103,             0.04515,             0.05072,           0.0085055,            0.009208,            0.009208,            0.009208
                   6,            0.048216,            0.051885,           0.0083112,             0.69708,             0.42172,             0.49753,             0.29324,            0.044204,            0.050049,           0.0082885,             0.00901,             0.00901,             0.00901
                   7,            0.046812,            0.051387,           0.0078016,             0.65657,             0.47534,             0.51936,             0.30889,             0.04428,            0.049753,            0.007998,            0.008812,            0.008812,            0.008812
                   8,            0.046019,            0.051084,           0.0074006,             0.71601,             0.42916,             0.51609,             0.31204,            0.042696,            0.049544,           0.0077024,            0.008614,            0.008614,            0.008614
                   9,            0.044883,            0.050212,           0.0073314,             0.70519,             0.47074,             0.52696,             0.32627,            0.041768,            0.049308,             0.00754,            0.008416,            0.008416,            0.008416
                  10,            0.044517,            0.049744,           0.0070845,             0.68059,             0.47133,             0.52991,             0.32844,            0.041879,            0.049515,           0.0075378,            0.008218,            0.008218,            0.008218
                  11,            0.043638,            0.050059,           0.0067358,              0.7274,             0.44842,             0.53295,             0.32929,            0.041359,             0.04917,           0.0074636,             0.00802,             0.00802,             0.00802
                  12,            0.043106,            0.049124,           0.0065899,             0.69726,             0.48587,             0.54139,             0.34305,            0.040513,            0.048744,           0.0074269,            0.007822,            0.007822,            0.007822
                  13,            0.041876,            0.048921,            0.006394,             0.67024,             0.50127,             0.54571,             0.34557,            0.040405,            0.048599,           0.0071166,            0.007624,            0.007624,            0.007624
                  14,            0.041974,            0.048345,           0.0063102,              0.7202,             0.45367,             0.52839,              0.3287,            0.040406,            0.048565,           0.0074987,            0.007426,            0.007426,            0.007426
                  15,            0.041657,            0.048946,            0.006089,             0.72911,             0.47764,             0.55065,             0.34732,            0.040414,            0.048287,           0.0070069,            0.007228,            0.007228,            0.007228
                  16,            0.040978,            0.048391,           0.0059885,             0.69778,             0.49312,             0.55089,             0.34632,            0.039618,            0.047845,           0.0071015,             0.00703,             0.00703,             0.00703
