               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.074524,            0.040001,            0.023717,             0.89922,             0.21258,             0.27309,             0.13006,            0.051771,            0.050429,            0.016364,            0.070046,           0.0033282,           0.0033282
                   1,            0.059524,            0.032742,            0.014961,             0.36792,             0.50806,             0.42193,             0.18572,            0.052552,            0.046758,            0.012077,             0.03998,           0.0065956,           0.0065956
                   2,            0.054933,            0.031357,            0.011684,             0.54438,             0.58949,              0.5915,             0.31551,            0.046842,            0.046058,            0.010129,           0.0098479,            0.009797,            0.009797
                   3,            0.048768,            0.029859,            0.010156,              0.6701,              0.6476,              0.6872,             0.38739,            0.040106,            0.044312,           0.0084598,            0.009703,            0.009703,            0.009703
                   4,             0.04461,             0.02963,           0.0083227,             0.68699,             0.69057,             0.72761,             0.43119,            0.034734,            0.042803,           0.0097167,            0.009703,            0.009703,            0.009703
                   5,            0.041956,            0.029102,           0.0072209,             0.81412,             0.76175,             0.84277,             0.50526,            0.034268,            0.041872,           0.0060506,            0.009604,            0.009604,            0.009604
                   6,            0.040265,            0.027985,           0.0063683,             0.87516,             0.76706,              0.8714,              0.5354,            0.032811,            0.041119,           0.0052369,            0.009505,            0.009505,            0.009505
                   7,            0.039251,            0.027707,           0.0060141,             0.86952,             0.80336,             0.89084,             0.57981,            0.031919,            0.040494,           0.0045209,            0.009406,            0.009406,            0.009406
                   8,            0.038015,            0.027644,            0.005577,                 0.9,             0.81134,             0.90791,             0.58895,            0.031851,            0.039768,           0.0042395,            0.009307,            0.009307,            0.009307
                   9,            0.036959,            0.026826,           0.0050768,             0.89304,             0.81449,             0.90827,             0.56712,            0.030371,            0.039174,            0.003943,            0.009208,            0.009208,            0.009208
                  10,            0.036322,            0.026276,           0.0048448,             0.89412,               0.847,             0.91845,             0.62226,            0.030054,            0.039229,           0.0036855,            0.009109,            0.009109,            0.009109
                  11,              0.0355,            0.026175,            0.004627,              0.9132,             0.82457,             0.91826,             0.63348,            0.029785,            0.038433,           0.0035601,             0.00901,             0.00901,             0.00901
                  12,            0.034527,            0.026111,           0.0042115,             0.90677,             0.85292,             0.92664,             0.63447,            0.028806,            0.037505,           0.0034926,            0.008911,            0.008911,            0.008911
                  13,            0.034253,            0.025626,           0.0041183,             0.90888,             0.85306,             0.93137,             0.65312,              0.0293,            0.037862,           0.0032921,            0.008812,            0.008812,            0.008812
                  14,            0.033756,            0.025972,           0.0038809,             0.89285,             0.87261,             0.93297,             0.65542,            0.028283,            0.037153,           0.0031716,            0.008713,            0.008713,            0.008713
                  15,            0.032953,            0.025215,            0.003756,             0.91006,             0.89027,             0.94686,             0.67302,             0.02763,            0.036492,           0.0027028,            0.008614,            0.008614,            0.008614
                  16,            0.032814,            0.025207,           0.0036239,             0.91139,             0.87708,             0.94153,             0.66248,            0.027868,            0.036459,           0.0028347,            0.008515,            0.008515,            0.008515
                  17,            0.032279,            0.024656,           0.0034606,             0.93594,             0.89395,             0.95476,             0.67863,            0.027315,            0.036194,           0.0025317,            0.008416,            0.008416,            0.008416
                  18,            0.031836,            0.024625,           0.0033658,             0.92173,             0.89418,             0.95134,             0.68041,            0.027103,             0.03587,           0.0028775,            0.008317,            0.008317,            0.008317
                  19,            0.031741,            0.024169,           0.0032604,             0.92812,             0.88763,             0.95369,             0.68555,            0.026828,            0.035389,           0.0025969,            0.008218,            0.008218,            0.008218
                  20,            0.031175,            0.023947,           0.0032314,             0.92995,             0.89438,              0.9494,             0.68729,            0.026595,            0.035706,           0.0025113,            0.008119,            0.008119,            0.008119
                  21,            0.030753,            0.023701,           0.0031362,             0.93189,             0.89792,             0.95527,             0.69924,            0.026517,            0.035124,           0.0024027,             0.00802,             0.00802,             0.00802
                  22,            0.030676,            0.023436,           0.0030418,             0.94772,             0.89679,             0.95865,              0.7048,            0.026082,            0.035152,           0.0023527,            0.007921,            0.007921,            0.007921
                  23,            0.030124,            0.023805,           0.0029076,             0.94064,             0.91016,             0.96066,             0.71758,            0.025672,            0.034476,            0.002448,            0.007822,            0.007822,            0.007822
                  24,            0.029949,            0.022856,           0.0027875,             0.93327,               0.898,             0.95755,             0.70388,            0.025519,            0.034811,           0.0022599,            0.007723,            0.007723,            0.007723
                  25,            0.029991,            0.023503,           0.0028917,             0.94557,             0.90065,             0.96355,              0.7037,            0.025543,             0.03476,           0.0022492,            0.007624,            0.007624,            0.007624
